row_id,model_a,model_b,human_pref,judge_pref,scores_a,scores_b,meta_lang
sample-0010,gpt-3.5-turbo-0125,gemini-1.5-pro-api-0514,1.0,0.5,"{'adherence': 6.0, 'helpfulness': 3.0, 'factuality': 2.0, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 7.0, 'helpfulness': 5.0, 'factuality': 4.0, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 8.0}",en
sample-0011,gemma-2-27b-it,phi-3-mini-4k-instruct-june-2024,0.0,0.0,"{'adherence': 9.5, 'helpfulness': 9.5, 'factuality': 9.5, 'completeness': 9.0, 'clarity': 9.5, 'fluency': 9.5}","{'adherence': 1.5, 'helpfulness': 1.0, 'factuality': 5.0, 'completeness': 1.0, 'clarity': 7.0, 'fluency': 7.0}",en
sample-0012,gpt-3.5-turbo-0125,claude-3-haiku-20240307,0.5,0.5,"{'adherence': 10.0, 'helpfulness': 4.0, 'factuality': 4.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 10.0}","{'adherence': 7.0, 'helpfulness': 4.0, 'factuality': 3.0, 'completeness': 10.0, 'clarity': 7.0, 'fluency': 7.0}",en
sample-0013,phi-3-mini-4k-instruct-june-2024,gpt-4o-2024-05-13,1.0,0.5,"{'adherence': 10.0, 'helpfulness': 9.5, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 10.0}","{'adherence': 10.0, 'helpfulness': 9.5, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 10.0}",unknown
sample-0014,gpt-3.5-turbo-0125,gemma-2-27b-it,0.5,1.0,"{'adherence': 9.0, 'helpfulness': 8.0, 'factuality': 7.5, 'completeness': 7.5, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0015,phi-3-mini-4k-instruct-june-2024,gemini-1.5-pro-api-0514,1.0,1.0,"{'adherence': 6.0, 'helpfulness': 3.0, 'factuality': 1.5, 'completeness': 5.0, 'clarity': 7.0, 'fluency': 8.0}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",tr
sample-0016,gemini-1.5-pro-api-0514,gpt-3.5-turbo-0125,1.0,0.5,"{'adherence': 7.0, 'helpfulness': 7.0, 'factuality': 8.0, 'completeness': 6.0, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 4.0, 'helpfulness': 5.0, 'factuality': 8.0, 'completeness': 4.0, 'clarity': 7.0, 'fluency': 7.0}",en
sample-0017,gemma-2-2b-it,gemma-2-9b-it,1.0,1.0,"{'adherence': 8.5, 'helpfulness': 1.5, 'factuality': 1.0, 'completeness': 5.5, 'clarity': 7.5, 'fluency': 8.0}","{'adherence': 10.0, 'helpfulness': 10.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 9.5, 'fluency': 9.5}",en
sample-0018,phi-3-small-8k-instruct,claude-3-5-sonnet-20240620,0.0,1.0,"{'adherence': 4.5, 'helpfulness': 3.0, 'factuality': 5.5, 'completeness': 2.5, 'clarity': 7.5, 'fluency': 7.5}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0019,gpt-3.5-turbo-0125,claude-3-5-sonnet-20240620,1.0,0.5,"{'adherence': 5.0, 'helpfulness': 3.0, 'factuality': 6.0, 'completeness': 4.0, 'clarity': 7.0, 'fluency': 7.0}","{'adherence': 7.0, 'helpfulness': 3.0, 'factuality': 2.0, 'completeness': 6.0, 'clarity': 8.0, 'fluency': 7.0}",zh
sample-0020,gpt-3.5-turbo-0125,claude-3-opus-20240229,0.5,0.5,"{'adherence': 7.0, 'helpfulness': 4.5, 'factuality': 2.5, 'completeness': 5.0, 'clarity': 7.5, 'fluency': 7.5}","{'adherence': 7.5, 'helpfulness': 5.5, 'factuality': 2.5, 'completeness': 8.0, 'clarity': 8.5, 'fluency': 8.5}",vi
sample-0021,llama-3-70b-instruct,phi-3-small-8k-instruct,1.0,0.0,"{'adherence': 8.0, 'helpfulness': 8.0, 'factuality': 8.0, 'completeness': 9.0, 'clarity': 8.0, 'fluency': 7.0}","{'adherence': 7.5, 'helpfulness': 7.0, 'factuality': 7.5, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 8.0}",ja
sample-0022,gpt-3.5-turbo-0125,gemini-1.5-pro-api-0514,0.0,1.0,"{'adherence': 9.0, 'helpfulness': 6.5, 'factuality': 8.5, 'completeness': 6.5, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 8.0, 'helpfulness': 8.5, 'factuality': 8.0, 'completeness': 8.5, 'clarity': 8.5, 'fluency': 8.5}",tr
sample-0023,gemma-2-9b-it,phi-3-small-8k-instruct,0.5,0.5,"{'adherence': 7.0, 'helpfulness': 4.0, 'factuality': 2.0, 'completeness': 5.0, 'clarity': 7.0, 'fluency': 7.0}","{'adherence': 7.0, 'helpfulness': 6.0, 'factuality': 5.0, 'completeness': 7.0, 'clarity': 7.0, 'fluency': 7.0}",en
sample-0024,llama-3-8b-instruct,gpt-4o-2024-05-13,1.0,0.5,"{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 8.0}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0025,mixtral-8x7b-instruct-v0.1,gemma-2-27b-it,0.0,0.5,"{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 7.0, 'helpfulness': 8.0, 'factuality': 10.0, 'completeness': 8.0, 'clarity': 9.0, 'fluency': 6.0}",ru
sample-0026,gemma-2-27b-it,mixtral-8x7b-instruct-v0.1,0.5,0.0,"{'adherence': 9.5, 'helpfulness': 9.0, 'factuality': 9.5, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 9.5, 'helpfulness': 9.0, 'factuality': 8.5, 'completeness': 9.5, 'clarity': 8.0, 'fluency': 8.0}",en
sample-0027,gpt-3.5-turbo-0125,claude-3-haiku-20240307,1.0,1.0,"{'adherence': 10.0, 'helpfulness': 6.5, 'factuality': 10.0, 'completeness': 6.5, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 10.0, 'helpfulness': 9.5, 'factuality': 10.0, 'completeness': 9.5, 'clarity': 9.5, 'fluency': 9.5}",en
sample-0028,phi-3-mini-4k-instruct-june-2024,gpt-4o-2024-05-13,0.5,1.0,"{'adherence': 2.5, 'helpfulness': 3.5, 'factuality': 7.0, 'completeness': 3.0, 'clarity': 7.5, 'fluency': 8.0}","{'adherence': 9.0, 'helpfulness': 8.5, 'factuality': 10.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0029,phi-3-small-8k-instruct,gpt-3.5-turbo-0125,0.5,1.0,"{'adherence': 6.0, 'helpfulness': 4.5, 'factuality': 3.5, 'completeness': 5.5, 'clarity': 5.0, 'fluency': 4.5}","{'adherence': 6.5, 'helpfulness': 6.0, 'factuality': 6.5, 'completeness': 5.5, 'clarity': 6.5, 'fluency': 6.5}",zh
sample-0030,phi-3-small-8k-instruct,claude-3-haiku-20240307,1.0,1.0,"{'adherence': 6.5, 'helpfulness': 6.5, 'factuality': 7.5, 'completeness': 8.0, 'clarity': 6.5, 'fluency': 7.0}","{'adherence': 8.5, 'helpfulness': 8.0, 'factuality': 8.5, 'completeness': 7.0, 'clarity': 8.5, 'fluency': 8.5}",en
sample-0031,phi-3-mini-4k-instruct-june-2024,claude-3-haiku-20240307,1.0,1.0,"{'adherence': 1.5, 'helpfulness': 1.0, 'factuality': 1.5, 'completeness': 1.0, 'clarity': 1.0, 'fluency': 1.0}","{'adherence': 8.5, 'helpfulness': 8.5, 'factuality': 9.0, 'completeness': 8.0, 'clarity': 9.0, 'fluency': 9.0}",th
sample-0032,phi-3-small-8k-instruct,gemma-2-9b-it,1.0,0.5,"{'adherence': 10.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 10.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 10.0, 'helpfulness': 7.0, 'factuality': 9.0, 'completeness': 8.0, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0033,phi-3-small-8k-instruct,gemma-2-27b-it,0.5,1.0,"{'adherence': 7.0, 'helpfulness': 6.5, 'factuality': 6.0, 'completeness': 6.0, 'clarity': 7.0, 'fluency': 7.5}","{'adherence': 7.5, 'helpfulness': 7.5, 'factuality': 6.0, 'completeness': 8.0, 'clarity': 7.5, 'fluency': 8.0}",en
sample-0034,gpt-3.5-turbo-0125,gemini-1.5-pro-api-0514,1.0,1.0,"{'adherence': 3.0, 'helpfulness': 5.0, 'factuality': 9.5, 'completeness': 3.5, 'clarity': 7.0, 'fluency': 7.0}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.5, 'completeness': 9.0, 'clarity': 8.5, 'fluency': 9.0}",ja
sample-0035,phi-3-mini-4k-instruct-june-2024,gemma-2-27b-it,1.0,1.0,"{'adherence': 5.0, 'helpfulness': 5.0, 'factuality': 7.0, 'completeness': 6.0, 'clarity': 7.5, 'fluency': 7.0}","{'adherence': 8.5, 'helpfulness': 8.5, 'factuality': 8.5, 'completeness': 9.0, 'clarity': 8.5, 'fluency': 9.0}",en
sample-0036,phi-3-mini-4k-instruct-june-2024,claude-3-opus-20240229,1.0,1.0,"{'adherence': 5.0, 'helpfulness': 3.5, 'factuality': 2.5, 'completeness': 4.0, 'clarity': 5.5, 'fluency': 5.5}","{'adherence': 7.0, 'helpfulness': 7.5, 'factuality': 7.0, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 8.0}",en
sample-0037,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,0.5,1.0,"{'adherence': 8.0, 'helpfulness': 7.0, 'factuality': 7.0, 'completeness': 6.5, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 9.0, 'helpfulness': 8.5, 'factuality': 8.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 8.5}",ru
sample-0038,mixtral-8x7b-instruct-v0.1,gemini-1.5-pro-api-0514,0.5,1.0,"{'adherence': 8.0, 'helpfulness': 7.5, 'factuality': 9.5, 'completeness': 9.0, 'clarity': 9.5, 'fluency': 9.5}","{'adherence': 9.5, 'helpfulness': 8.5, 'factuality': 9.5, 'completeness': 9.5, 'clarity': 9.5, 'fluency': 9.5}",unknown
sample-0039,mixtral-8x7b-instruct-v0.1,gemma-2-9b-it,0.5,0.5,"{'adherence': 5.0, 'helpfulness': 7.0, 'factuality': 8.0, 'completeness': 8.0, 'clarity': 8.0, 'fluency': 7.0}","{'adherence': 9.0, 'helpfulness': 5.0, 'factuality': 4.0, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 9.0}",zh
sample-0040,phi-3-small-8k-instruct,gemini-1.5-pro-api-0514,0.0,1.0,"{'adherence': 7.0, 'helpfulness': 4.0, 'factuality': 7.5, 'completeness': 7.5, 'clarity': 5.0, 'fluency': 3.0}","{'adherence': 9.5, 'helpfulness': 9.0, 'factuality': 10.0, 'completeness': 9.5, 'clarity': 10.0, 'fluency': 9.5}",zh
sample-0041,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,1.0,0.5,"{'adherence': 2.0, 'helpfulness': 1.0, 'factuality': 7.0, 'completeness': 1.0, 'clarity': 7.0, 'fluency': 7.0}","{'adherence': 2.0, 'helpfulness': 4.0, 'factuality': 3.0, 'completeness': 5.0, 'clarity': 7.0, 'fluency': 7.0}",unknown
sample-0042,gpt-3.5-turbo-0125,gemma-2-9b-it,0.0,1.0,"{'adherence': 7.5, 'helpfulness': 5.5, 'factuality': 7.5, 'completeness': 5.0, 'clarity': 7.5, 'fluency': 7.5}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 8.5, 'completeness': 9.5, 'clarity': 9.0, 'fluency': 9.0}",pt
sample-0043,phi-3-small-8k-instruct,mixtral-8x7b-instruct-v0.1,1.0,0.0,"{'adherence': 10.0, 'helpfulness': 9.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 10.0}","{'adherence': 10.0, 'helpfulness': 9.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 9.5}",unknown
sample-0044,gpt-4o-2024-05-13,gpt-3.5-turbo-0125,0.0,0.0,"{'adherence': 9.5, 'helpfulness': 9.5, 'factuality': 9.5, 'completeness': 9.5, 'clarity': 9.5, 'fluency': 9.5}","{'adherence': 5.0, 'helpfulness': 2.5, 'factuality': 1.5, 'completeness': 5.0, 'clarity': 7.5, 'fluency': 7.5}",en
sample-0045,gemma-2-27b-it,gemma-2-2b-it,0.5,1.0,"{'adherence': 8.0, 'helpfulness': 8.0, 'factuality': 9.5, 'completeness': 8.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 8.0, 'helpfulness': 8.5, 'factuality': 9.5, 'completeness': 8.5, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0046,gpt-4o-2024-05-13,claude-3-opus-20240229,1.0,0.5,"{'adherence': 10.0, 'helpfulness': 9.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 9.0}","{'adherence': 9.0, 'helpfulness': 8.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 8.0, 'fluency': 9.0}",ru
sample-0047,phi-3-mini-4k-instruct-june-2024,mixtral-8x7b-instruct-v0.1,0.0,0.5,"{'adherence': 2.0, 'helpfulness': 2.0, 'factuality': 3.0, 'completeness': 2.0, 'clarity': 4.0, 'fluency': 3.0}","{'adherence': 5.0, 'helpfulness': 8.0, 'factuality': 6.0, 'completeness': 8.0, 'clarity': 8.0, 'fluency': 8.0}",ru
sample-0048,phi-3-small-8k-instruct,claude-3-5-sonnet-20240620,0.5,0.5,"{'adherence': 7.0, 'helpfulness': 4.0, 'factuality': 2.0, 'completeness': 8.0, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 7.0, 'helpfulness': 5.0, 'factuality': 7.0, 'completeness': 6.0, 'clarity': 7.0, 'fluency': 7.0}",en
sample-0049,phi-3-mini-4k-instruct-june-2024,gpt-4o-2024-05-13,1.0,1.0,"{'adherence': 8.5, 'helpfulness': 8.0, 'factuality': 6.5, 'completeness': 8.0, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0050,claude-3-opus-20240229,llama-3-8b-instruct,0.5,0.0,"{'adherence': 8.5, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 8.5, 'fluency': 8.5}","{'adherence': 7.0, 'helpfulness': 6.0, 'factuality': 4.5, 'completeness': 6.5, 'clarity': 7.5, 'fluency': 8.0}",en
sample-0051,gemma-2-9b-it,llama-3-8b-instruct,0.0,0.0,"{'adherence': 8.0, 'helpfulness': 8.5, 'factuality': 9.0, 'completeness': 8.5, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 7.5, 'helpfulness': 7.0, 'factuality': 8.0, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 8.0}",en
sample-0052,gpt-3.5-turbo-0125,gemma-2-9b-it,1.0,0.5,"{'adherence': 5.0, 'helpfulness': 4.5, 'factuality': 8.5, 'completeness': 5.5, 'clarity': 6.5, 'fluency': 7.5}","{'adherence': 7.0, 'helpfulness': 6.0, 'factuality': 5.0, 'completeness': 7.5, 'clarity': 7.5, 'fluency': 8.0}",zh
sample-0053,mixtral-8x7b-instruct-v0.1,claude-3-opus-20240229,1.0,1.0,"{'adherence': 3.0, 'helpfulness': 5.5, 'factuality': 6.5, 'completeness': 7.5, 'clarity': 5.5, 'fluency': 6.5}","{'adherence': 10.0, 'helpfulness': 10.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 10.0}",zh
sample-0054,claude-3-haiku-20240307,gpt-3.5-turbo-0125,1.0,0.0,"{'adherence': 8.5, 'helpfulness': 7.5, 'factuality': 5.5, 'completeness': 8.5, 'clarity': 8.5, 'fluency': 8.0}","{'adherence': 8.0, 'helpfulness': 6.0, 'factuality': 5.0, 'completeness': 6.0, 'clarity': 7.5, 'fluency': 7.5}",en
sample-0055,gemma-2-9b-it,phi-3-mini-4k-instruct-june-2024,0.5,0.0,"{'adherence': 10.0, 'helpfulness': 10.0, 'factuality': 10.0, 'completeness': 10.0, 'clarity': 10.0, 'fluency': 10.0}","{'adherence': 2.0, 'helpfulness': 2.0, 'factuality': 7.0, 'completeness': 2.0, 'clarity': 7.5, 'fluency': 7.5}",de
sample-0056,gemini-1.5-pro-api-0514,phi-3-small-8k-instruct,0.0,0.0,"{'adherence': 8.0, 'helpfulness': 7.5, 'factuality': 7.5, 'completeness': 7.5, 'clarity': 7.5, 'fluency': 7.5}","{'adherence': 4.0, 'helpfulness': 4.5, 'factuality': 4.0, 'completeness': 4.5, 'clarity': 7.5, 'fluency': 8.0}",it
sample-0057,gemma-2-27b-it,phi-3-mini-4k-instruct-june-2024,0.0,0.0,"{'adherence': 9.0, 'helpfulness': 6.0, 'factuality': 8.0, 'completeness': 5.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 6.5, 'helpfulness': 4.5, 'factuality': 2.0, 'completeness': 6.5, 'clarity': 7.5, 'fluency': 8.0}",de
sample-0058,phi-3-small-8k-instruct,gemma-2-27b-it,0.5,1.0,"{'adherence': 8.0, 'helpfulness': 7.0, 'factuality': 9.5, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 8.5, 'helpfulness': 8.5, 'factuality': 9.5, 'completeness': 8.5, 'clarity': 9.0, 'fluency': 8.5}",en
sample-0059,claude-3-haiku-20240307,phi-3-small-8k-instruct,0.5,0.0,"{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.5, 'completeness': 9.5, 'clarity': 8.5, 'fluency': 8.5}","{'adherence': 9.5, 'helpfulness': 8.0, 'factuality': 9.5, 'completeness': 8.0, 'clarity': 9.0, 'fluency': 9.0}",ru
sample-0060,mixtral-8x7b-instruct-v0.1,phi-3-mini-4k-instruct-june-2024,1.0,0.5,"{'adherence': 7.0, 'helpfulness': 3.0, 'factuality': 2.0, 'completeness': 4.0, 'clarity': 7.0, 'fluency': 7.0}","{'adherence': 8.0, 'helpfulness': 6.0, 'factuality': 7.0, 'completeness': 5.0, 'clarity': 8.0, 'fluency': 8.0}",en
sample-0061,phi-3-mini-4k-instruct-june-2024,gpt-3.5-turbo-0125,0.0,0.0,"{'adherence': 8.5, 'helpfulness': 8.0, 'factuality': 8.5, 'completeness': 8.0, 'clarity': 8.5, 'fluency': 8.5}","{'adherence': 8.0, 'helpfulness': 7.0, 'factuality': 8.0, 'completeness': 6.5, 'clarity': 8.0, 'fluency': 8.0}",en
sample-0062,gpt-3.5-turbo-0125,gemma-2-27b-it,1.0,1.0,"{'adherence': 8.0, 'helpfulness': 6.5, 'factuality': 9.0, 'completeness': 6.5, 'clarity': 8.0, 'fluency': 7.5}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0063,phi-3-mini-4k-instruct-june-2024,gemini-1.5-pro-api-0514,0.0,1.0,"{'adherence': 5.0, 'helpfulness': 3.5, 'factuality': 2.5, 'completeness': 5.0, 'clarity': 7.0, 'fluency': 7.5}","{'adherence': 8.0, 'helpfulness': 8.0, 'factuality': 7.5, 'completeness': 7.0, 'clarity': 9.0, 'fluency': 9.0}",ru
sample-0064,llama-3-70b-instruct,gemma-2-2b-it,0.5,1.0,"{'adherence': 3.5, 'helpfulness': 4.5, 'factuality': 3.5, 'completeness': 7.0, 'clarity': 7.5, 'fluency': 8.0}","{'adherence': 8.0, 'helpfulness': 7.0, 'factuality': 5.5, 'completeness': 7.0, 'clarity': 7.5, 'fluency': 8.0}",zh
sample-0065,phi-3-mini-4k-instruct-june-2024,claude-3-opus-20240229,1.0,1.0,"{'adherence': 7.5, 'helpfulness': 4.5, 'factuality': 7.5, 'completeness': 5.0, 'clarity': 5.0, 'fluency': 4.0}","{'adherence': 9.0, 'helpfulness': 6.5, 'factuality': 9.5, 'completeness': 7.0, 'clarity': 7.5, 'fluency': 6.5}",ru
sample-0066,gemma-2-9b-it,gemma-2-2b-it,0.0,0.5,"{'adherence': 9.0, 'helpfulness': 8.0, 'factuality': 8.0, 'completeness': 8.0, 'clarity': 8.0, 'fluency': 8.0}","{'adherence': 7.0, 'helpfulness': 5.0, 'factuality': 2.0, 'completeness': 7.0, 'clarity': 8.0, 'fluency': 8.0}",unknown
sample-0067,gemma-2-2b-it,mixtral-8x7b-instruct-v0.1,0.5,1.0,"{'adherence': 1.5, 'helpfulness': 1.0, 'factuality': 3.0, 'completeness': 1.0, 'clarity': 3.0, 'fluency': 3.0}","{'adherence': 4.5, 'helpfulness': 6.0, 'factuality': 4.0, 'completeness': 6.5, 'clarity': 7.0, 'fluency': 6.5}",ja
sample-0068,gpt-3.5-turbo-0125,gemma-2-2b-it,0.0,0.5,"{'adherence': 8.5, 'helpfulness': 7.5, 'factuality': 7.5, 'completeness': 6.5, 'clarity': 7.5, 'fluency': 8.0}","{'adherence': 8.5, 'helpfulness': 7.0, 'factuality': 7.5, 'completeness': 7.5, 'clarity': 8.5, 'fluency': 7.5}",de
sample-0069,claude-3-5-sonnet-20240620,gpt-3.5-turbo-0125,0.0,0.0,"{'adherence': 8.5, 'helpfulness': 8.0, 'factuality': 7.0, 'completeness': 8.5, 'clarity': 8.0, 'fluency': 7.5}","{'adherence': 7.5, 'helpfulness': 5.5, 'factuality': 6.5, 'completeness': 4.5, 'clarity': 8.0, 'fluency': 8.0}",ru
sample-0070,gemma-2-27b-it,llama-3-70b-instruct,1.0,1.0,"{'adherence': 9.0, 'helpfulness': 7.0, 'factuality': 8.0, 'completeness': 7.0, 'clarity': 8.5, 'fluency': 8.5}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 7.0, 'completeness': 9.0, 'clarity': 8.0, 'fluency': 8.0}",en
sample-0071,phi-3-mini-4k-instruct-june-2024,gemma-2-27b-it,1.0,0.5,"{'adherence': 5.0, 'helpfulness': 6.0, 'factuality': 8.0, 'completeness': 7.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 8.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}",en
sample-0072,phi-3-small-8k-instruct,claude-3-5-sonnet-20240620,1.0,1.0,"{'adherence': 4.5, 'helpfulness': 2.5, 'factuality': 2.0, 'completeness': 6.0, 'clarity': 7.0, 'fluency': 7.0}","{'adherence': 7.5, 'helpfulness': 7.0, 'factuality': 6.0, 'completeness': 8.0, 'clarity': 8.0, 'fluency': 8.0}",de
sample-0073,gemma-2-2b-it,claude-3-opus-20240229,0.0,0.0,"{'adherence': 9.0, 'helpfulness': 9.0, 'factuality': 9.0, 'completeness': 9.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 8.5, 'helpfulness': 8.0, 'factuality': 9.0, 'completeness': 8.0, 'clarity': 8.0, 'fluency': 8.5}",en
sample-0074,claude-3-haiku-20240307,mixtral-8x7b-instruct-v0.1,0.0,0.0,"{'adherence': 8.5, 'helpfulness': 7.5, 'factuality': 8.5, 'completeness': 8.0, 'clarity': 9.0, 'fluency': 9.0}","{'adherence': 8.5, 'helpfulness': 7.0, 'factuality': 4.5, 'completeness': 8.5, 'clarity': 8.5, 'fluency': 8.5}",es
